Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.470492 404262559212666.625000
3.468832 362054910222833.250000
3.467174 660849576266666.500000
3.465517 704157914465499.875000
3.463861 277660743368666.687500
3.462207 619988928476833.375000
3.460555 641980444880000.125000
3.458905 921050432679166.625000
3.457255 664646714372666.625000
3.455608 472134639419666.625000
3.453962 923688332458666.500000
3.452318 774057324245999.875000
3.450675 860882816666666.625000
3.449034 775532096646000.125000
3.447394 1401598627693333.250000
3.445756 841758961998500.000000
3.444119 950579528477333.250000
3.442484 1037981136200000.000000
3.440851 1147192608821333.000000
3.439219 1278275702221833.250000
3.437588 1344547247081333.250000
3.435960 1454356385251166.750000
3.434332 1673008819533333.250000
3.432706 1674593887132833.000000
3.431092 1937391794881499.750000
3.429469 1568811734208000.000000
3.427848 1897440971710500.000000
3.426228 2052047313203999.750000
3.424610 1966583208374999.750000
3.422994 2384000939903999.500000
3.421379 2583282163137000.000000
3.419765 2782936386618000.000000
3.418153 3004897431409499.500000
3.416543 3205319127600000.000000
3.414934 3559939154667000.000000
3.413326 3695266722671999.500000
3.411720 3940926149068499.000000
3.410116 4275191365824000.000000
3.408513 4654195871212500.000000
3.406912 4791043511142000.000000
3.405312 4883943633991499.000000
3.403713 4954891904255999.000000
3.402126 5911567455538001.000000
3.400530 6404668355848166.000000
3.398936 6588134803800000.000000
3.397344 7104982937653333.000000
3.395753 7778358364233332.000000
3.394164 7852379152302834.000000
3.392576 7881997266944000.000000
3.390989 8624824262812499.000000
3.389404 8655199789634666.000000
3.387821 9199166507844666.000000
3.386239 9341857710298664.000000
3.384658 9507173279070832.000000
3.383079 10187771601583330.000000
3.381502 9861105716073334.000000
3.379935 10632952120638998.000000
3.378360 10440786806710000.000000
3.376787 10517940214782000.000000
3.375215 10302786597141334.000000
3.373645 10379928094920832.000000
3.372076 9781087734497332.000000
3.370509 9812744689152500.000000
3.368943 9257393595973330.000000
3.367378 9378997310869164.000000
3.365815 9003153230633334.000000
3.364254 8332253151741333.000000
3.362694 8407975318997333.000000
3.361135 7848674375905667.000000
3.359587 7810499511876000.000000
3.358031 7567752544128001.000000
3.356477 7370039838150000.000000
3.354924 6853197861005999.000000
3.353372 6631648941856500.000000
3.351822 6523732582223998.000000
3.350274 6324282757099501.000000
3.348727 5895931416300001.000000
3.347181 5558274777100501.000000
3.345637 5609196576479999.000000
3.344094 5316468105947999.000000
3.342561 5229596735702000.000000
3.341021 5303292946336000.000000
