Wavelength_nm,Energy_eV,Counts
550.466,2.25235,467
550.636,2.25165,486
550.806,2.25096,502
550.976,2.25026,478
551.146,2.24957,477
551.316,2.24888,468
551.486,2.24818,485
551.656,2.24749,480
551.826,2.2468,485
551.996,2.24611,485
552.166,2.24542,480
552.336,2.24472,488
552.506,2.24403,472
552.676,2.24334,487
552.846,2.24265,479
553.016,2.24196,496
553.186,2.24128,499
553.356,2.24059,489
553.526,2.2399,482
553.696,2.23921,482
553.866,2.23852,493
554.036,2.23784,480
554.206,2.23715,473
554.376,2.23646,471
554.546,2.23578,485
554.716,2.23509,474
554.886,2.23441,463
555.056,2.23372,475
555.226,2.23304,451
555.396,2.23236,471
555.566,2.23167,491
555.736,2.23099,485
555.906,2.23031,465
556.076,2.22963,485
556.246,2.22895,467
556.416,2.22826,445
556.586,2.22758,474
556.756,2.2269,472
556.926,2.22622,451
557.096,2.22554,450
557.266,2.22487,472
557.436,2.22419,453
557.606,2.22351,444
557.776,2.22283,454
557.946,2.22215,471
558.116,2.22148,454
558.286,2.2208,465
558.456,2.22012,455
558.626,2.21945,461
558.796,2.21877,462
558.966,2.2181,439
559.136,2.21742,450
559.306,2.21675,431
559.476,2.21608,446
559.646,2.2154,435
559.816,2.21473,451
559.986,2.21406,433
560.155,2.21339,455
560.325,2.21272,446
560.495,2.21205,445
560.665,2.21138,446
560.835,2.21071,450
561.005,2.21004,442
561.175,2.20937,432
561.345,2.2087,429
561.515,2.20803,461
561.685,2.20736,450
561.855,2.20669,442
562.025,2.20603,427
562.195,2.20536,421
562.365,2.20469,431
562.535,2.20403,422
562.705,2.20336,445
562.875,2.2027,429
563.045,2.20203,444
563.215,2.20137,413
563.385,2.2007,424
563.555,2.20004,450
563.725,2.19937,424
563.895,2.19871,427
564.064,2.19805,438
564.234,2.19739,426
564.404,2.19673,439
564.574,2.19607,430
564.744,2.19541,439
564.914,2.19474,423
565.084,2.19408,431
565.254,2.19342,434
565.424,2.19277,440
565.594,2.19211,417
565.764,2.19145,437
565.934,2.19079,437
566.104,2.19013,417
566.274,2.18947,445
566.444,2.18882,461
566.614,2.18816,443
566.783,2.18751,442
566.953,2.18685,427
567.123,2.1862,443
567.293,2.18554,446
567.463,2.18489,440
567.633,2.18423,410
567.803,2.18358,439
567.973,2.18292,422
568.143,2.18227,412
568.313,2.18162,435
568.483,2.18097,428
568.653,2.18031,421
568.823,2.17966,412
568.993,2.17901,419
569.162,2.17836,421
569.332,2.17771,429
569.502,2.17706,419
569.672,2.17641,433
569.842,2.17576,427
570.012,2.17512,430
570.182,2.17447,409
570.352,2.17382,438
570.522,2.17317,422
570.692,2.17252,416
570.862,2.17188,431
571.031,2.17123,419
571.201,2.17059,417
571.371,2.16994,416
571.541,2.1693,417
571.711,2.16865,423
571.881,2.16801,433
572.051,2.16736,412
572.221,2.16672,435
572.391,2.16608,421
572.561,2.16543,408
572.731,2.16479,410
572.9,2.16415,425
573.07,2.16351,402
573.24,2.16287,391
573.41,2.16223,405
573.58,2.16159,421
573.75,2.16094,414
573.92,2.1603,403
574.09,2.15966,419
574.26,2.15903,399
574.43,2.15839,387
574.599,2.15775,404
574.769,2.15711,403
574.939,2.15648,400
575.109,2.15584,398
575.279,2.1552,409
575.449,2.15456,392
575.619,2.15393,395
575.789,2.15329,390
575.959,2.15266,402
576.128,2.15203,399
576.298,2.15139,378
576.468,2.15076,391
576.638,2.15012,384
576.808,2.14949,397
576.978,2.14885,395
577.148,2.14822,400
577.318,2.14759,389
577.487,2.14696,378
577.657,2.14633,360
577.827,2.1457,405
577.997,2.14507,386
578.167,2.14444,396
578.337,2.14381,390
578.507,2.14318,383
578.677,2.14255,402
578.846,2.14192,386
579.016,2.14129,409
579.186,2.14066,379
579.356,2.14003,380
579.526,2.13941,369
579.696,2.13878,392
579.866,2.13815,391
580.036,2.13753,380
580.205,2.1369,404
580.375,2.13628,390
580.545,2.13565,404
580.715,2.13503,408
580.885,2.1344,391
581.055,2.13378,380
581.225,2.13315,366
581.394,2.13253,380
581.564,2.13191,383
581.734,2.13129,402
581.904,2.13066,366
582.074,2.13004,392
582.244,2.12942,391
582.414,2.1288,397
582.583,2.12818,396
582.753,2.12756,394
582.923,2.12694,383
583.093,2.12632,383
583.263,2.1257,379
583.433,2.12508,391
583.603,2.12446,393
583.772,2.12385,370
583.942,2.12323,399
584.112,2.12261,388
584.282,2.12199,395
584.452,2.12138,388
584.622,2.12076,393
584.791,2.12015,381
584.961,2.11953,380
585.131,2.11891,382
585.301,2.1183,382
585.471,2.11768,392
585.641,2.11707,390
585.811,2.11645,386
585.98,2.11584,365
586.15,2.11523,383
586.32,2.11462,386
586.49,2.114,375
586.66,2.11339,367
586.83,2.11278,364
586.999,2.11217,368
587.169,2.11156,386
587.339,2.11095,374
587.509,2.11034,366
587.679,2.10973,386
587.849,2.10912,382
588.018,2.10851,378
588.188,2.1079,374
588.358,2.10729,375
588.528,2.10668,362
588.698,2.10607,368
588.867,2.10547,375
589.037,2.10486,374
589.207,2.10426,353
589.377,2.10365,366
589.547,2.10304,362
589.717,2.10244,365
589.886,2.10183,362
590.056,2.10123,378
590.226,2.10062,359
590.396,2.10002,357
590.566,2.09941,356
590.735,2.09881,368
590.905,2.09821,357
591.075,2.09761,337
591.245,2.097,361
591.415,2.0964,359
591.585,2.0958,336
591.754,2.0952,353
591.924,2.0946,346
592.094,2.094,347
592.264,2.09339,339
592.434,2.09279,338
592.603,2.0922,332
592.773,2.0916,341
592.943,2.091,331
593.113,2.0904,332
593.283,2.0898,341
593.452,2.0892,320
593.622,2.08861,319
593.792,2.08801,331
593.962,2.08741,344
594.132,2.08681,330
594.301,2.08622,334
594.471,2.08562,318
594.641,2.08503,332
594.811,2.08443,320
594.981,2.08383,321
595.15,2.08324,324
595.32,2.08265,332
595.49,2.08205,318
595.66,2.08146,313
595.829,2.08087,322
595.999,2.08028,325
596.169,2.07968,323
596.339,2.07909,329
596.509,2.0785,332
596.678,2.07791,314
596.848,2.07732,311
597.018,2.07672,314
597.188,2.07613,322
597.358,2.07554,325
597.527,2.07496,308
597.697,2.07437,322
597.867,2.07378,321
598.037,2.07319,315
598.206,2.0726,300
598.376,2.07201,314
598.546,2.07142,311
598.716,2.07083,305
598.885,2.07025,314
599.055,2.06966,334
599.225,2.06908,320
599.395,2.06849,313
599.565,2.0679,318
599.734,2.06732,300
599.904,2.06673,291
600.074,2.06615,298
600.244,2.06556,320
600.413,2.06498,308
600.583,2.0644,294
600.753,2.06381,286
600.923,2.06323,321
601.092,2.06265,295
601.262,2.06207,315
601.432,2.06148,305
601.602,2.0609,313
601.771,2.06032,320
601.941,2.05974,297
602.111,2.05916,297
602.281,2.05858,290
602.451,2.058,306
602.62,2.05742,307
602.79,2.05684,297
602.96,2.05626,303
603.13,2.05568,305
603.299,2.0551,295
603.469,2.05452,294
603.639,2.05395,326
603.809,2.05337,328
603.978,2.05279,306
604.148,2.05222,306
604.318,2.05164,310
604.487,2.05106,304
604.657,2.05049,312
604.827,2.04991,295
604.997,2.04934,313
605.166,2.04876,300
605.336,2.04819,313
605.506,2.04761,321
605.676,2.04704,294
605.845,2.04647,316
606.015,2.04589,309
606.185,2.04532,311
606.355,2.04475,311
606.524,2.04418,317
606.694,2.0436,313
606.864,2.04303,311
607.034,2.04246,294
607.203,2.04189,303
607.373,2.04132,294
607.543,2.04075,306
607.712,2.04018,317
607.882,2.03961,298
608.052,2.03904,303
608.222,2.03847,303
608.391,2.0379,292
608.561,2.03733,309
608.731,2.03676,287
608.901,2.0362,312
609.07,2.03563,298
609.24,2.03506,310
609.41,2.0345,292
609.579,2.03393,300
609.749,2.03336,287
609.919,2.0328,301
610.089,2.03223,297
610.258,2.03167,298
610.428,2.0311,290
610.598,2.03054,305
610.767,2.02998,298
610.937,2.02941,301
611.107,2.02885,302
611.277,2.02828,301
611.446,2.02772,278
611.616,2.02716,284
611.786,2.02659,281
611.955,2.02603,292
612.125,2.02547,281
612.295,2.02491,273
612.465,2.02435,271
612.634,2.02379,280
612.804,2.02323,269
612.974,2.02267,269
613.143,2.02211,278
613.313,2.02155,268
613.483,2.02099,281
613.652,2.02043,267
613.822,2.01987,274
613.992,2.01931,288
614.162,2.01875,279
614.331,2.0182,259
614.501,2.01764,266
614.671,2.01708,268
614.84,2.01653,259
615.01,2.01597,251
615.18,2.01541,266
615.349,2.01486,258
615.519,2.0143,275
615.689,2.01375,265
615.858,2.01319,272
616.028,2.01264,250
616.198,2.01208,256
616.368,2.01153,250
616.537,2.01098,232
616.707,2.01042,247
616.877,2.00987,253
617.046,2.00932,242
617.216,2.00877,260
617.386,2.00821,257
617.555,2.00766,262
617.725,2.00711,256
617.895,2.00656,255
618.064,2.00601,270
618.234,2.00546,244
618.404,2.00491,258
618.573,2.00436,238
618.743,2.00381,245
618.913,2.00326,240
619.082,2.00271,255
619.252,2.00216,236
619.422,2.00161,229
619.591,2.00107,224
619.761,2.00052,242
619.931,1.99997,247
620.1,1.99942,233
620.27,1.99887,227
620.44,1.99833,227
620.609,1.99778,224
620.779,1.99724,223
620.949,1.99669,231
621.118,1.99615,224
621.288,1.9956,230
621.458,1.99505,235
621.627,1.99451,228
621.797,1.99397,239
621.967,1.99342,214
622.136,1.99288,234
622.306,1.99233,228
622.476,1.99179,242
622.645,1.99125,229
622.815,1.99071,220
622.985,1.99016,220
623.154,1.98962,233
623.324,1.98908,223
623.494,1.98854,213
623.663,1.988,206
623.833,1.98746,228
624.002,1.98692,210
624.172,1.98638,219
624.342,1.98584,224
624.511,1.9853,224
624.681,1.98476,220
624.851,1.98422,211
625.02,1.98368,207
625.19,1.98314,219
625.36,1.98261,207
625.529,1.98207,219
625.699,1.98153,210
625.869,1.98099,224
626.038,1.98046,222
626.208,1.97992,209
626.377,1.97939,223
626.547,1.97885,203
626.717,1.97831,205
626.886,1.97778,210
627.056,1.97724,214
627.226,1.97671,213
627.395,1.97617,227
627.565,1.97564,208
627.735,1.9751,220
627.904,1.97457,207
628.074,1.97404,204
628.243,1.97351,193
628.413,1.97297,214
628.583,1.97244,198
628.752,1.97191,213
628.922,1.97138,208
629.091,1.97085,205
629.261,1.97031,202
629.431,1.96978,196
629.6,1.96925,199
629.77,1.96872,215
629.94,1.96819,204
630.109,1.96766,201
630.279,1.96713,199
630.448,1.9666,206
630.618,1.96607,200
630.788,1.96554,197
630.957,1.96502,196
631.127,1.96449,202
631.297,1.96396,189
631.466,1.96343,201
631.636,1.96291,198
631.805,1.96238,193
631.975,1.96185,207
632.145,1.96133,199
632.314,1.9608,211
632.484,1.96027,191
632.653,1.95975,203
632.823,1.95922,198
632.993,1.9587,203
633.162,1.95817,200
633.332,1.95765,195
633.501,1.95713,193
633.671,1.9566,191
633.841,1.95608,200
634.01,1.95556,195
634.18,1.95503,191
634.349,1.95451,186
634.519,1.95399,196
634.689,1.95346,193
634.858,1.95294,193
635.028,1.95242,192
635.197,1.9519,177
635.367,1.95138,181
635.537,1.95086,182
635.706,1.95034,178
635.876,1.94982,183
636.045,1.9493,191
636.215,1.94878,187
636.384,1.94826,190
636.554,1.94774,187
636.724,1.94722,183
636.893,1.9467,179
637.063,1.94618,176
637.232,1.94567,183
637.402,1.94515,186
637.572,1.94463,175
637.741,1.94412,173
637.911,1.9436,171
638.08,1.94308,166
638.25,1.94256,176
638.419,1.94205,168
638.589,1.94153,184
638.759,1.94102,177
638.928,1.9405,173
639.098,1.93999,174
639.267,1.93947,180
639.437,1.93896,173
639.606,1.93845,186
639.776,1.93793,173
639.946,1.93742,164
640.115,1.93691,170
640.285,1.93639,174
640.454,1.93588,179
640.624,1.93537,172
640.793,1.93486,185
640.963,1.93434,169
641.132,1.93383,166
641.302,1.93332,165
641.472,1.93281,160
641.641,1.9323,152
641.811,1.93179,171
641.98,1.93128,176
642.15,1.93077,169
642.319,1.93026,156
642.489,1.92975,158
642.659,1.92924,152
642.828,1.92873,165
642.998,1.92822,143
643.167,1.92771,165
643.337,1.9272,169
643.506,1.9267,163
643.676,1.92619,149
643.845,1.92568,159
644.015,1.92518,165
644.184,1.92467,161
644.354,1.92416,151
644.524,1.92366,137
644.693,1.92315,153
644.863,1.92264,136
645.032,1.92214,154
645.202,1.92163,147
645.371,1.92113,151
645.541,1.92062,145
645.71,1.92012,159
645.88,1.91962,157
646.049,1.91911,166
646.219,1.91861,155
646.388,1.91811,145
646.558,1.9176,146
646.728,1.9171,153
646.897,1.9166,154
647.067,1.9161,160
647.236,1.91559,152
647.406,1.91509,140
647.575,1.91459,159
647.745,1.91409,154
647.914,1.91359,139
648.084,1.91309,142
648.253,1.91259,152
648.423,1.91209,151
648.592,1.91159,146
648.762,1.91109,156
648.931,1.91059,168
649.101,1.91009,148
649.27,1.90959,160
649.44,1.90909,169
649.61,1.90859,168
649.779,1.9081,145
649.949,1.9076,146
650.118,1.9071,139
650.288,1.9066,135
650.457,1.90611,147
650.627,1.90561,147
650.796,1.90512,142
650.966,1.90462,144
651.135,1.90412,148
651.305,1.90363,139
651.474,1.90313,158
651.644,1.90264,146
651.813,1.90214,144
651.983,1.90165,146
652.152,1.90115,131
652.322,1.90066,146
652.491,1.90017,143
652.661,1.89967,136
652.83,1.89918,154
653,1.89869,146
653.169,1.89819,137
653.339,1.8977,138
653.508,1.89721,132
653.678,1.89672,143
653.847,1.89623,134
654.017,1.89573,145
654.186,1.89524,136
654.356,1.89475,144
654.525,1.89426,146
654.695,1.89377,142
654.864,1.89328,143
655.034,1.89279,143
655.203,1.8923,147
655.373,1.89181,133
655.542,1.89132,146
655.712,1.89083,130
655.881,1.89035,132
656.051,1.88986,140
656.22,1.88937,142
656.39,1.88888,130
656.559,1.88839,126
656.729,1.88791,137
656.898,1.88742,134
657.068,1.88693,129
657.237,1.88645,134
657.406,1.88596,136
657.576,1.88547,129
657.745,1.88499,118
657.915,1.8845,132
658.084,1.88402,135
658.254,1.88353,139
658.423,1.88305,125
658.593,1.88256,115
658.762,1.88208,107
658.932,1.88159,121
659.101,1.88111,120
659.271,1.88063,129
659.44,1.88014,134
659.61,1.87966,119
659.779,1.87918,118
659.949,1.87869,110
660.118,1.87821,125
660.288,1.87773,111
660.457,1.87725,118
660.626,1.87677,118
660.796,1.87629,109
660.965,1.87581,121
661.135,1.87532,121
661.304,1.87484,117
661.474,1.87436,116
661.643,1.87388,126
661.813,1.8734,121
661.982,1.87292,120
662.152,1.87244,110
662.321,1.87197,110
662.491,1.87149,111
662.66,1.87101,114
662.829,1.87053,109
662.999,1.87005,104
663.168,1.86957,109
663.338,1.8691,108
663.507,1.86862,116
663.677,1.86814,106
663.846,1.86767,111
664.016,1.86719,96
664.185,1.86671,112
664.354,1.86624,112
664.524,1.86576,85
664.693,1.86529,113
664.863,1.86481,100
665.032,1.86433,106
665.202,1.86386,96
665.371,1.86338,111
665.541,1.86291,107
665.71,1.86244,104
665.879,1.86196,113
666.049,1.86149,106
666.218,1.86102,115
666.388,1.86054,99
666.557,1.86007,103
666.727,1.85959,81
666.896,1.85912,107
667.065,1.85865,116
667.235,1.85818,101
667.404,1.85771,98
667.574,1.85724,104
667.743,1.85677,97
667.913,1.85629,103
668.082,1.85582,94
668.251,1.85535,105
668.421,1.85488,108
668.59,1.85441,82
668.76,1.85394,103
668.929,1.85347,109
669.099,1.853,84
669.268,1.85253,96
669.437,1.85207,110
669.607,1.8516,89
669.776,1.85113,104
669.946,1.85066,104
670.115,1.85019,99
670.285,1.84972,105
670.454,1.84926,90
670.623,1.84879,105
670.793,1.84832,99
670.962,1.84786,91
671.132,1.84739,106
671.301,1.84692,101
671.47,1.84646,91
671.64,1.84599,82
671.809,1.84553,100
671.979,1.84506,108
672.148,1.8446,97
672.317,1.84413,88
672.487,1.84367,88
672.656,1.8432,93
672.826,1.84274,86
672.995,1.84228,112
673.164,1.84181,103
673.334,1.84135,105
673.503,1.84089,101
673.673,1.84042,102
673.842,1.83996,94
674.011,1.8395,104
674.181,1.83903,80
674.35,1.83857,95
674.52,1.83811,96
674.689,1.83765,99
674.858,1.83719,101
675.028,1.83673,89
675.197,1.83627,86
675.367,1.8358,90
675.536,1.83535,102
675.705,1.83489,82
675.875,1.83442,98
676.044,1.83397,104
676.214,1.83351,110
676.383,1.83305,95
676.552,1.83259,89
676.722,1.83213,88
676.891,1.83167,77
677.06,1.83121,94
677.23,1.83075,108
677.399,1.8303,86
677.569,1.82984,95
677.738,1.82938,101
677.907,1.82893,88
678.077,1.82847,96
678.246,1.82801,95
678.416,1.82755,87
678.585,1.8271,94
678.754,1.82664,97
678.924,1.82619,100
679.093,1.82573,91
679.262,1.82528,95
679.432,1.82482,94
679.601,1.82437,88
679.771,1.82391,96
679.94,1.82346,100
680.109,1.823,103
680.279,1.82255,94
680.448,1.8221,95
680.617,1.82164,100
680.787,1.82119,98
680.956,1.82074,96
681.125,1.82029,97
681.295,1.81983,89
681.464,1.81938,94
681.634,1.81893,100
681.803,1.81848,83
681.972,1.81802,75
682.142,1.81757,98
682.311,1.81712,89
682.48,1.81667,91
682.65,1.81622,96
682.819,1.81577,91
682.988,1.81532,84
683.158,1.81487,102
683.327,1.81442,93
683.496,1.81397,86
683.666,1.81352,97
683.835,1.81307,92
684.004,1.81262,89
684.174,1.81217,85
684.343,1.81173,92
684.512,1.81128,83
684.682,1.81083,99
684.851,1.81038,78
685.021,1.80993,93
685.19,1.80949,92
685.359,1.80904,81
685.529,1.80859,88
685.698,1.80815,93
685.867,1.8077,81
686.037,1.80725,84
686.206,1.80681,90
686.375,1.80636,92
686.545,1.80592,108
686.714,1.80547,90
686.883,1.80503,91
687.053,1.80458,98
687.222,1.80414,87
687.391,1.80369,96
687.561,1.80325,100
687.73,1.8028,93
687.899,1.80236,97
688.069,1.80192,97
688.238,1.80147,90
688.407,1.80103,110
688.577,1.80059,95
688.746,1.80014,98
