Wavelength_nm,Energy_eV,Counts
388.572,3.19077,9259
388.743,3.18936,9241
388.914,3.18796,9186
389.084,3.18657,8955
389.255,3.18517,8957
389.426,3.18377,8875
389.597,3.18237,8735
389.768,3.18097,8665
389.939,3.17958,8597
390.109,3.17819,8468
390.28,3.1768,8422
390.451,3.17541,8316
390.622,3.17402,8211
390.793,3.17263,8113
390.963,3.17125,7976
391.134,3.16987,7938
391.305,3.16848,7793
391.476,3.1671,7714
391.647,3.16571,7601
391.817,3.16434,7499
391.988,3.16296,7415
392.159,3.16158,7328
392.33,3.1602,7206
392.501,3.15883,7115
392.671,3.15746,6978
392.842,3.15608,6840
393.013,3.15471,6634
393.184,3.15334,6695
393.355,3.15197,6557
393.525,3.15061,6527
393.696,3.14924,6450
393.867,3.14787,6437
394.038,3.1465,6416
394.208,3.14515,6369
394.379,3.14378,6421
394.55,3.14242,6463
394.721,3.14106,6486
394.892,3.1397,6544
395.062,3.13835,6579
395.233,3.13699,6723
395.404,3.13563,6809
395.575,3.13428,6869
395.746,3.13292,6975
395.916,3.13158,7106
396.087,3.13023,7209
396.258,3.12888,7373
396.429,3.12753,7463
396.599,3.12619,7627
396.77,3.12484,7760
396.941,3.12349,7897
397.112,3.12215,7931
397.283,3.1208,8101
397.453,3.11947,8147
397.624,3.11813,8254
397.795,3.11679,8358
397.966,3.11545,8386
398.136,3.11412,8404
398.307,3.11278,8414
398.478,3.11144,8410
398.649,3.11011,8405
398.819,3.10878,8331
398.99,3.10745,8249
399.161,3.10612,8165
399.332,3.10479,8058
399.503,3.10346,8007
399.673,3.10214,7862
399.844,3.10081,7720
400.015,3.09949,7632
400.186,3.09816,7489
400.356,3.09685,7434
400.527,3.09553,7209
400.698,3.09421,7022
400.869,3.09289,6884
401.039,3.09157,6750
401.21,3.09026,6608
401.381,3.08894,6494
401.552,3.08762,6374
401.722,3.08632,6249
401.893,3.08501,6126
402.064,3.08369,6036
402.235,3.08238,5989
402.405,3.08108,5814
402.576,3.07977,5772
402.747,3.07846,5673
402.918,3.07716,5556
403.088,3.07586,5516
403.259,3.07456,5418
403.43,3.07325,5297
403.601,3.07195,5298
403.771,3.07066,5282
403.942,3.06936,5177
404.113,3.06806,5114
404.284,3.06676,5145
404.454,3.06547,5042
404.625,3.06418,4991
404.796,3.06288,5008
404.967,3.06159,4949
405.137,3.0603,4968
405.308,3.05901,4935
405.479,3.05772,4899
405.649,3.05644,4857
405.82,3.05515,4848
405.991,3.05387,4827
406.162,3.05258,4804
406.332,3.0513,4876
406.503,3.05002,4817
406.674,3.04874,4787
406.845,3.04746,4805
407.015,3.04618,4765
407.186,3.0449,4775
407.357,3.04363,4713
407.527,3.04236,4624
407.698,3.04108,4606
407.869,3.0398,4675
408.04,3.03853,4653
408.21,3.03727,4611
408.381,3.03599,4579
408.552,3.03472,4617
408.722,3.03346,4614
408.893,3.03219,4568
409.064,3.03092,4510
409.235,3.02966,4499
409.405,3.0284,4477
409.576,3.02714,4469
409.747,3.02587,4445
409.917,3.02462,4398
410.088,3.02336,4361
410.259,3.0221,4347
410.43,3.02084,4293
410.6,3.01959,4296
410.771,3.01833,4222
410.942,3.01707,4160
411.112,3.01583,4147
411.283,3.01457,4085
411.454,3.01332,4060
411.625,3.01207,3994
411.795,3.01082,3922
411.966,3.00957,3885
412.137,3.00832,3814
412.307,3.00708,3728
412.478,3.00584,3707
412.649,3.00459,3658
412.819,3.00335,3588
412.99,3.00211,3555
413.161,3.00087,3497
413.332,2.99963,3443
413.502,2.99839,3419
413.673,2.99715,3324
413.844,2.99592,3294
414.014,2.99469,3176
414.185,2.99345,3151
414.356,2.99221,3135
414.526,2.99099,3056
414.697,2.98975,3026
414.868,2.98852,2969
415.038,2.9873,2995
415.209,2.98607,2905
415.38,2.98484,2827
415.55,2.98362,2816
415.721,2.98239,2849
415.892,2.98116,2782
416.063,2.97994,2787
416.233,2.97872,2759
416.404,2.9775,2725
416.575,2.97628,2710
416.745,2.97506,2697
416.916,2.97384,2668
417.087,2.97262,2660
417.257,2.97141,2690
417.428,2.97019,2667
417.599,2.96898,2660
417.769,2.96777,2640
417.94,2.96655,2599
418.111,2.96534,2625
418.281,2.96414,2611
418.452,2.96293,2620
418.623,2.96171,2556
418.793,2.96051,2567
418.964,2.9593,2583
419.135,2.9581,2530
419.305,2.9569,2508
419.476,2.95569,2496
419.647,2.95449,2507
419.817,2.95329,2491
419.988,2.95209,2442
420.159,2.95089,2410
420.329,2.94969,2398
420.5,2.94849,2397
420.671,2.9473,2370
420.841,2.94611,2379
421.012,2.94491,2316
421.183,2.94371,2277
421.353,2.94253,2285
421.524,2.94133,2250
421.695,2.94014,2172
421.865,2.93895,2163
422.036,2.93776,2119
422.206,2.93658,2053
422.377,2.93539,2043
422.548,2.9342,2003
422.718,2.93302,1973
422.889,2.93184,1988
423.06,2.93065,1950
423.23,2.92948,1893
423.401,2.92829,1921
423.572,2.92711,1850
423.742,2.92594,1811
423.913,2.92476,1821
424.084,2.92358,1777
424.254,2.9224,1801
424.425,2.92123,1719
424.595,2.92006,1685
424.766,2.91888,1687
424.937,2.91771,1659
425.107,2.91654,1664
425.278,2.91537,1654
425.449,2.9142,1622
425.619,2.91303,1606
425.79,2.91186,1612
425.961,2.91069,1629
426.131,2.90953,1582
426.302,2.90837,1589
426.472,2.90721,1554
426.643,2.90604,1536
426.814,2.90488,1559
426.984,2.90372,1512
427.155,2.90256,1534
