Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.468832 598354053309444.375000
3.467174 446657163682539.625000
3.465517 518211452204047.500000
3.463861 650926284820317.500000
3.462207 488661224415238.125000
3.460555 713311605422222.250000
3.458905 652793219174603.125000
3.457255 684045005575555.500000
3.455608 674478056313809.500000
3.453962 705808360350476.000000
3.452318 767914012148809.375000
3.450675 809639791865079.375000
3.449034 933510857073888.875000
3.447394 841985988797460.250000
3.445756 945565622757777.750000
3.444119 946464465583492.000000
3.442484 1256286692623015.750000
3.440851 1123486023014602.875000
3.439219 1186454445161508.000000
3.437588 1342481890326984.000000
3.435960 1447120781344444.500000
3.434332 1500224358888888.750000
3.432706 1677700740355714.000000
3.431092 1741475770679999.750000
3.429469 1929887450811428.500000
3.427848 1921327749132142.500000
3.426228 2255796691819999.500000
3.424610 2205902858071428.250000
3.422994 2603758125714285.500000
3.421379 2606216871607143.000000
3.419765 2973891526757143.000000
3.418153 2987141694067142.500000
3.416543 3638131299428571.000000
3.414934 3672953096085000.000000
3.413326 4158222474208570.500000
3.411720 4371817515726427.000000
3.410116 4953093580434286.000000
3.408513 5346390653232143.000000
3.406912 5687852840745714.000000
3.405312 6303560087827856.000000
3.403713 6994150136960000.000000
3.402126 7707072962365397.000000
3.400530 8083664459679840.000000
3.398936 9073605573936508.000000
3.397344 9674195517786904.000000
3.395753 10413475687626664.000000
3.394164 11556651362690398.000000
3.392576 12203630420033016.000000
3.390989 13796322802579364.000000
3.389404 14457200434085394.000000
3.387821 15640284249930080.000000
3.386239 16336012286749204.000000
3.384658 18087596893963332.000000
3.383079 18914816139412696.000000
3.381502 19722211432146668.000000
3.379935 20883485428821820.000000
3.378360 21854550161715552.000000
3.376787 22859503763506664.000000
3.375215 23480669807583492.000000
3.373645 24178016583045636.000000
3.372076 25338104170669520.000000
3.370509 25608739287290156.000000
3.368943 25944356268389836.000000
3.367378 26269801991774676.000000
3.365815 26725081556833336.000000
3.364254 26135328208878092.000000
3.362694 26191960081127620.000000
3.361135 25643755805670316.000000
3.359587 25256543272068572.000000
3.358031 24782144038400000.000000
3.356477 24263505640000000.000000
3.354924 22941570438045712.000000
3.353372 22604687851230712.000000
3.351822 21908705658251420.000000
3.350274 21276639772466428.000000
3.348727 20012214607928572.000000
3.347181 18952377252900004.000000
3.345637 18392059522879996.000000
3.344094 17579700572007856.000000
3.342561 16296070028545080.000000
3.341021 15589560382344126.000000
3.339483 15210001001805554.000000
3.337945 14358763728964760.000000
3.336410 13725191659726030.000000
3.334875 13496425059390472.000000
3.333342 12707097396282304.000000
3.331811 12410981313341270.000000
3.330281 11872238736761824.000000
3.328752 11167293873493332.000000
3.327233 11100326685386350.000000
3.325707 11033282508650794.000000
3.324183 10193062930448252.000000
3.322660 10036607403706346.000000
3.321138 9570069604122222.000000
3.319618 9490247305256584.000000
3.318099 9288343400256508.000000
3.316581 8930740702063889.000000
3.315065 9094371162499998.000000
3.313559 8746980858000000.000000
3.312045 8398992759139286.000000
3.310533 8250781639397143.000000
3.309023 8068854810574286.000000
3.307513 7730415506879999.000000
3.306005 7547661016071428.000000
3.304499 7241634540822857.000000
3.302994 6767257456574997.000000
3.301490 6885381161314286.000000
3.299996 6678703844455871.000000
3.298495 6482894471245871.000000
3.296995 6354078163492064.000000
3.295497 6236255977758333.000000
3.294000 6061978117237777.000000
3.292505 5876118859001428.000000
3.291010 5667380148886348.000000
3.289517 5571029014313492.000000
3.288034 5248715755208333.000000
3.286544 5377752483271110.000000
3.285055 5145159358769443.000000
3.283568 5093230680142857.000000
3.282082 4859944902091190.000000
3.280597 4864345213619048.000000
3.279113 4573671909270079.000000
3.277640 4520988734787144.000000
3.276159 4502337527725714.500000
3.274680 4483647065252857.000000
3.273201 4453527224317142.500000
3.271725 4411947122196428.500000
3.270249 4438750536639999.500000
3.268775 4271440536267142.000000
3.267302 4366742421251427.500000
3.265839 4370655344873650.000000
3.264369 4294430353601189.500000
3.262900 4344146154055554.500000
3.261433 4715174679746905.000000
3.259967 4627554914980318.000000
3.258502 4482306364373809.000000
3.257038 4727907505250476.000000
3.255584 4801212948186667.000000
3.254123 5047529833726191.000000
3.252664 4890579646366984.000000
3.251205 5345212694838650.000000
3.249748 5373117020647618.000000
3.248293 5482023078837618.000000
3.246838 5822634110658731.000000
3.245394 5816232813714284.000000
3.243942 5867826068452855.000000
3.242491 6256103960259999.000000
3.241042 6308169062016429.000000
3.239594 6616127868811429.000000
3.238147 6587126607250000.000000
3.236711 7163746526220238.000000
3.235266 7100190455173333.000000
3.233824 7538286886397936.000000
3.232382 7369818081114602.000000
3.230942 7960889811968332.000000
3.229503 8108390487999998.000000
3.228074 8349787775373014.000000
3.226637 8767465828059363.000000
3.225202 8716611750516824.000000
3.223769 9147082140696108.000000
3.222336 9378514924413334.000000
3.220905 9516244542224206.000000
3.219475 9724848350915554.000000
3.218054 9568461471120000.000000
3.216627 10131287134185000.000000
3.215201 9998620307279998.000000
3.213776 9901151827444286.000000
3.212352 10158269489357142.000000
3.210938 9693774506000000.000000
3.209517 9868213516066110.000000
