Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.472154 1487963098171666.750000
3.470492 1297895584840666.500000
3.468832 1426922293231166.500000
3.467174 1748053717866666.500000
3.465517 1920430675814999.750000
3.463861 1431020754284666.750000
3.462207 1859966785430500.250000
3.460555 1733347201176000.250000
3.458905 1863520642862500.250000
3.457255 1951059709932666.500000
3.455608 2017302550247666.500000
3.453962 1890338912938666.250000
3.452318 1849136941254333.000000
3.450675 2001552548750000.250000
3.449034 2154255824016666.750000
3.447394 2242557804309333.250000
3.445756 2287857691585666.500000
3.444119 2462865141964000.000000
3.442484 2508454412483333.000000
3.440851 2727288088895999.500000
3.439219 2794873992993500.500000
3.437588 2949329445210666.500000
3.435960 3147487699424166.500000
3.434332 3302562864533333.500000
3.432706 3718903307788499.500000
3.431092 4114236508231500.000000
3.429469 4183497957888000.000000
3.427848 4492791266349000.000000
3.426228 4759003343387999.000000
3.424610 5003861719087499.000000
3.422994 5642864610048000.000000
3.421379 5954684308248000.000000
3.419765 6749168559672000.000000
3.418153 7238074104855000.000000
3.416543 8320657187400000.000000
3.414934 9097622284149000.000000
3.413326 9766062052776000.000000
3.411720 11008173600749998.000000
3.410116 11922054272736000.000000
3.408513 13322911403850000.000000
3.406912 14748465739368000.000000
3.405312 16242979959202500.000000
3.403713 17917243046639998.000000
3.402126 19306692214341332.000000
3.400530 21939867378165000.000000
3.398936 23579755206866664.000000
3.397344 25822172364033832.000000
3.395753 27202030393775996.000000
3.394164 29296270095135508.000000
3.392576 32062361763840000.000000
3.390989 34566156154062496.000000
3.389404 36070768195461992.000000
3.387821 38203334696413160.000000
3.386239 39468231378917328.000000
3.384658 40310414703260328.000000
3.383079 40728695699516656.000000
3.381502 42492400994716008.000000
3.379935 42464511317235496.000000
3.378360 42167306716132000.000000
3.376787 42318977402637832.000000
3.375215 41031185050624000.000000
3.373645 41249519023633328.000000
3.372076 40183593158084656.000000
3.370509 37514010156461160.000000
3.368943 36939258348810656.000000
3.367378 35323789872020488.000000
3.365815 33592167204750004.000000
3.364254 32355406939778164.000000
3.362694 29847179232128000.000000
3.361135 28627245845066332.000000
3.359587 26473960554789000.000000
3.358031 25430375666304004.000000
3.356477 23611423925925000.000000
3.354924 23018548297266000.000000
3.353372 21285086294481000.000000
3.351822 20209884852623996.000000
3.350274 18835860197137504.000000
3.348727 17756351590950000.000000
3.347181 17269536858892502.000000
3.345637 16598642930399998.000000
3.344094 15949404317844000.000000
3.342561 14886001234520166.000000
3.341021 14784937910997334.000000
3.339483 14017274304541664.000000
3.337945 14122189132057334.000000
3.336410 13582677688818330.000000
3.334875 13410837973647998.000000
3.333342 12869642808093002.000000
3.331811 12835307158066666.000000
3.330281 12315659701628832.000000
3.328752 12396356986197332.000000
3.327233 12222484834912000.000000
3.325707 12164193965787500.000000
3.324183 12244927602688000.000000
3.322660 11699058674100000.000000
3.321138 11895651836245332.000000
3.319618 11441451010257998.000000
3.318099 11661415383544002.000000
3.316581 11602197051203002.000000
3.315065 11962595913750000.000000
3.313559 11156568469200000.000000
3.312045 11260212544107000.000000
3.310533 10919759181858000.000000
3.309023 10719094691727000.000000
3.307513 10494624688128000.000000
3.306005 10457306668124998.000000
3.304499 10232161397495998.000000
3.302994 10476385675748996.000000
3.301490 10297843239312002.000000
3.299996 10260102751650664.000000
3.298495 10363658289673330.000000
3.296995 10349513531666666.000000
3.295497 9886993936629832.000000
3.294000 9848746265798000.000000
3.292505 9503102568522998.000000
3.291010 10458175455658664.000000
3.289517 9757194945716666.000000
3.288034 10524521656250000.000000
3.286544 10557793478186664.000000
3.285055 10757340874719500.000000
3.283568 10624479198778000.000000
3.282082 11205061777758500.000000
3.280597 11024715270866668.000000
3.279113 11082358857077500.000000
3.277640 11020761986157002.000000
3.276159 11651503783872000.000000
3.274680 12068293687057500.000000
3.273201 11959599963000000.000000
3.271725 12640741522200000.000000
3.270249 12987624320832000.000000
3.268775 13383085616036998.000000
3.267302 13851261235157996.000000
3.265839 14896840992213330.000000
3.264369 15246945527425664.000000
3.262900 15405098762666662.000000
3.261433 16430834978913666.000000
3.259967 17675422532578668.000000
3.258502 19284261150725164.000000
3.257038 20606084462664668.000000
3.255584 21905965839856004.000000
3.254123 23426069968033332.000000
3.252664 25118432301635332.000000
3.251205 26789559521324164.000000
3.249748 28973233586175996.000000
3.248293 31476527450135996.000000
3.246838 34057200431350008.000000
3.245394 37737155174399992.000000
3.243942 40961136835946992.000000
3.242491 44922076358802000.000000
3.241042 49304788795771504.000000
3.239594 53280177716112000.000000
3.238147 58240207916362496.000000
3.236711 63600091110833336.000000
3.235266 69728766952874664.000000
3.233824 76873022479138832.000000
3.232382 83122437878739312.000000
3.230942 90217572869112496.000000
3.229503 98529229869333312.000000
3.228074 105895919968566656.000000
3.226637 114531469045075488.000000
3.225202 123206902106464000.000000
3.223769 129900308480221984.000000
3.222336 141985779895131328.000000
3.220905 151622359580175008.000000
3.219475 159940789784930656.000000
3.218054 166862419913178016.000000
3.216627 176224245303172512.000000
3.215201 184387779782351968.000000
3.213776 192590399782466976.000000
3.212352 201552365388599968.000000
3.210938 210578609268800032.000000
3.209517 214447060105436640.000000
3.208097 218197614094881984.000000
3.206678 224172604809959136.000000
3.205261 227588682670250624.000000
3.203845 231659655079462528.000000
3.202438 232412941590754112.000000
3.201024 233768727628245312.000000
3.199612 236728691394252160.000000
3.198201 236160963860204000.000000
3.196791 236845773641974176.000000
3.195382 236351889570200000.000000
3.193983 235051790057550016.000000
3.192577 234001769934484480.000000
3.191172 232999956040775968.000000
3.189768 232751711728801472.000000
3.188366 231570026175275968.000000
3.186972 225944140891080032.000000
3.185572 226193293109820832.000000
3.184174 224319484849916608.000000
3.182776 220974859790435808.000000
3.181380 219396491330826624.000000
3.179985 217865781121572864.000000
3.178599 214783808328051296.000000
3.177206 213804370847466624.000000
3.175815 211298448993786016.000000
3.174424 208813320910754016.000000
3.173035 206501769478656160.000000
3.171656 203191348222524032.000000
3.170269 202400221279788032.000000
3.168884 198876844395637504.000000
3.167499 197032863242543968.000000
3.166116 194316236533501472.000000
3.164743 191875115101001824.000000
3.163362 189891466791293312.000000
3.161983 187827242737861312.000000
3.160605 184861317508900000.000000
3.159228 182685967338685792.000000
3.157860 179323568062283008.000000
3.156485 175930314138960000.000000
3.155112 170780408888857600.000000
3.153740 172500756557653344.000000
3.152369 169092086509320832.000000
3.151007 168463964759062464.000000
3.149638 166621280947200032.000000
3.148271 166429937086015520.000000
3.146905 166031050994784000.000000
3.145548 164957044020736000.000000
3.144184 166448153801810176.000000
3.142821 167682214542916672.000000
3.141459 168424845936120992.000000
3.140099 170078223708202656.000000
3.138748 171135123284945984.000000
3.137390 175032323765824512.000000
3.136033 177424749462957312.000000
3.134677 179143039885520832.000000
3.133323 182064817199849984.000000
3.131977 185643633028656000.000000
3.130625 188497221250153472.000000
3.129274 192951904684061984.000000
3.127925 195475811680330464.000000
3.126584 199942779731871136.000000
3.125236 203604853217333312.000000
3.123890 207378059604576096.000000
3.122545 208450394409077344.000000
3.121201 213101911450498176.000000
3.119866 214495420681953792.000000
3.118524 217499565622250656.000000
3.117183 220429520800825024.000000
3.115844 221358165831702656.000000
3.114514 222022859144064000.000000
3.113177 222478032503181024.000000
3.111841 222563244271739968.000000
3.110506 222621869469067488.000000
3.109180 220850081825648512.000000
3.107847 218863870467483328.000000
3.106516 216820899919160800.000000
3.105186 214162900078832000.000000
3.103857 212989732433510464.000000
3.102536 209310690245966304.000000
3.101209 205706121978986624.000000
3.099884 203535264286200000.000000
3.098559 199892437048240608.000000
3.097243 198593024225904000.000000
3.095921 192746886091393504.000000
3.094600 187907417657747936.000000
3.093280 184371825888054016.000000
3.091969 180936314461124992.000000
3.090651 177281036462133312.000000
3.089334 174371159383922272.000000
3.088018 171294885246549312.000000
3.086712 168077858743285952.000000
3.085398 164909861101428992.000000
3.084086 162625392856576032.000000
3.082775 161496374733754176.000000
3.081473 156909960720224960.000000
3.080164 155908873216512032.000000
3.078856 153364965551509504.000000
3.077549 150329539034424000.000000
3.076251 149373220927317344.000000
3.074947 146843892436143008.000000
3.073644 143686214445883328.000000
3.072341 143835196438483008.000000
3.071048 143521641661560320.000000
3.069748 140787772414571328.000000
3.068449 139192269659444320.000000
3.067151 140154561402519984.000000
3.065862 137464279696812000.000000
3.064566 136188910101562480.000000
3.063271 136768314415487984.000000
3.061978 135271240603243472.000000
3.060693 135904598700731984.000000
3.059402 135115837825640000.000000
3.058112 134243393673576496.000000
3.056830 133204124517209488.000000
3.055542 133069416899200000.000000
3.054255 132604682779164496.000000
3.052969 132084034575362640.000000
3.051692 134175894172704000.000000
3.050408 132663944492725488.000000
3.049125 131948662379201968.000000
3.047844 132556218931687488.000000
3.046571 131562611120354144.000000
3.045291 131949515715983312.000000
3.044013 130345654340189520.000000
3.042743 127990975748482656.000000
3.041467 127599756382270656.000000
3.040192 129619923571279168.000000
3.038918 129118145560800000.000000
3.037652 128059308050849984.000000
3.036380 127277152246036464.000000
3.035109 128440889893728000.000000
3.033847 128464274755395984.000000
3.032578 127289973588505296.000000
3.031311 125778905998826656.000000
3.030044 125577051704545824.000000
3.028786 125066826111654144.000000
3.027521 124947653583157328.000000
3.026258 124380437470000816.000000
3.025003 123167417069636992.000000
3.023741 122233137255263984.000000
3.022481 121942367910184512.000000
3.021222 120527967595950000.000000
3.019971 120712129760000016.000000
3.018714 118731657094983680.000000
3.017457 117085506972373312.000000
3.016210 116816204737994672.000000
3.014956 115165481562260832.000000
3.013703 114555873351826672.000000
3.012451 112787325276041664.000000
3.011207 110845604763675008.000000
3.009957 109891100388510000.000000
3.008708 107972373736160992.000000
3.007468 105624841344045328.000000
3.006221 105116989749031312.000000
3.004975 103813550560209664.000000
3.003738 101910877003078016.000000
3.002494 101057238509250000.000000
3.001251 99490822614622816.000000
3.000010 98035604546205312.000000
2.998776 97432327964946000.000000
2.997537 94803444414666000.000000
2.996298 94025504128463984.000000
2.995068 90731752135749344.000000
2.993831 90091929003829168.000000
2.992596 89708492499559984.000000
2.991368 87519665848309328.000000
2.990135 86732019845672336.000000
2.988902 85168465515309328.000000
2.987678 85984723604130000.000000
2.986448 83469613707217504.000000
2.985218 81295353169799984.000000
2.983997 81045325973333344.000000
2.982770 82062572182834832.000000
2.981543 80198640842874656.000000
2.980318 80408861075600496.000000
2.979101 79666083747891824.000000
2.977877 78748998927266656.000000
2.976655 78379853332291664.000000
2.975441 78067539563737504.000000
2.974220 77291493569567984.000000
2.973001 77122960735590000.000000
2.971790 78056359481968336.000000
2.970572 77452407089288000.000000
2.969356 77312423328443328.000000
2.968147 76793612438840016.000000
2.966933 75662886586066656.000000
2.965720 76482353640437488.000000
2.964514 76136322640528496.000000
2.963303 76461239986079984.000000
2.962092 74654462070953984.000000
2.960890 75036651628563824.000000
2.959682 75566023733928000.000000
2.958474 74075932501541648.000000
2.957275 73491373504450000.000000
2.956069 73199407663616000.000000
2.954864 73581956125793824.000000
2.953668 73171594483516496.000000
2.952465 71790697498608000.000000
2.951264 70907656754534992.000000
2.950070 70611695140319656.000000
2.948870 70639689875000000.000000
2.947672 69900815645195000.000000
2.946481 70222983896916504.000000
2.945284 68418926199584008.000000
2.944088 67321447846075504.000000
2.942901 67612521856927504.000000
2.941707 66630930966000000.000000
2.940514 64373255635050000.000000
2.939329 64158213200112504.000000
2.938138 62904063740370656.000000
2.936955 60993913652184664.000000
2.935766 60745993408924504.000000
2.934578 59604877507485328.000000
2.933398 58759395224142000.000000
2.932212 59254031894358000.000000
2.931026 58168423170000000.000000
2.929849 56513506179950008.000000
2.928666 57395768244120160.000000
2.927483 55319082081733328.000000
2.926309 54196373120567336.000000
2.925129 54539627281191496.000000
2.923949 53264757300418656.000000
2.922777 54027435530885992.000000
2.921600 51609130349062504.000000
2.920430 50628890022020840.000000
2.919254 50729820512228664.000000
2.918080 49928007022428504.000000
2.916913 50118559975189336.000000
2.915740 49857453004622664.000000
