Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.468832 440855096565449.937500
3.467174 447672293599999.937500
3.465517 358480392818799.937500
3.463861 435713781901600.062500
3.462207 525921642776900.062500
3.460555 520004160352800.062500
3.458905 481944993843750.062500
3.457255 566021718046400.000000
3.455608 527932369532900.000000
3.453962 586434685491199.875000
3.452318 677300158715249.875000
3.450675 652118733625000.125000
3.449034 710904421925500.125000
3.447394 737456508724800.000000
3.445756 841758961998500.000000
3.444119 784228110993800.000000
3.442484 862821819466250.000000
3.440851 928576658838399.875000
3.439219 1143948425039200.250000
3.437588 1001904561534800.125000
3.435960 1028902875535900.125000
3.434332 1101578534420000.000000
3.432706 1193963693553150.000000
3.431092 1397534305970700.000000
3.429469 1490371147497600.000000
3.427848 1491781177758600.000000
3.426228 1597977269431200.000000
3.424610 1796145996982499.750000
3.422994 1745351146828800.000000
3.421379 1970299954935000.250000
3.419765 2018176702421400.250000
3.418153 2230642837768950.000000
3.416543 2324954079540000.000000
3.414934 2445810048854550.000000
3.413326 2639476230480000.000000
3.411720 2840108788993499.500000
3.410116 2975004300960000.500000
3.408513 3328522070928750.500000
3.406912 3550229477380800.000000
3.405312 3672902407101300.000000
3.403713 3948429486204000.000000
3.402126 4304152484481600.500000
3.400530 4500997034853850.000000
3.398936 4751442676680000.000000
3.397344 5421990104296700.000000
3.395753 5633753843808999.000000
3.394164 6006069040005001.000000
3.392576 6592823137689600.000000
3.390989 6973404423343750.000000
3.389404 7307843946093600.000000
3.387821 7837153990906500.000000
3.386239 8280282970491999.000000
3.384658 8965823647650799.000000
3.383079 9383945226864998.000000
3.381502 9950752131674002.000000
3.379935 10558925238786448.000000
3.378360 11404033589522600.000000
3.376787 11832682741629750.000000
3.375215 12444326518643200.000000
3.373645 13057093931116250.000000
3.372076 13400540937631598.000000
3.370509 14482257679163000.000000
3.368943 14739576925491198.000000
3.367378 15444835571681896.000000
3.365815 15846002105675002.000000
3.364254 16376953001778550.000000
3.362694 16800086533619200.000000
3.361135 17448555866897800.000000
3.359587 17512320562528952.000000
3.358031 17876258712345602.000000
3.356477 18063421714428752.000000
3.354924 18196264885435200.000000
3.353372 18315657232199552.000000
3.351822 18325757890065596.000000
3.350274 18465992396902804.000000
3.348727 18243108719505000.000000
3.347181 18184479209032504.000000
3.345637 17603719378185600.000000
3.344094 17846833452208198.000000
3.342561 17003070439367950.000000
3.341021 16908550887344000.000000
3.339483 16600129438690000.000000
3.337945 16346318918816200.000000
3.336410 15677633061161498.000000
3.334875 15208166774239998.000000
3.333342 14765493415306704.000000
3.331811 14245805840365002.000000
3.330281 13912305265198350.000000
3.328752 13425532146432000.000000
3.327233 12694717203533600.000000
3.325707 12539546236731800.000000
3.324183 11994463174451200.000000
3.322660 11573711616877500.000000
3.321138 10970950775537200.000000
3.319618 10960072888484948.000000
3.318099 10579068446748002.000000
3.316581 9987674449499452.000000
3.315065 9912864567125000.000000
3.313559 9648797918760002.000000
3.312045 9405314461115100.000000
