Processed Data:
Y = y*x^2
Processed Data:
X = 1240/x
3.307513 125654390.239104
3.306005 117750210.958125
3.304499 117998411.712408
3.302994 115710035.512869
3.301490 110454948.717552
3.299996 108154661.116024
3.298495 102176249.228643
3.296995 101137615.150000
3.295497 99389065.539582
3.294000 95369873.911972
3.292505 95172863.036999
3.291010 92419984.909056
3.289517 91935511.600175
3.288034 89742880.609375
3.286544 86550181.142528
3.285055 87768503.030824
3.283568 87420211.393972
3.282082 87071180.693410
3.280597 84149770.555600
3.279113 89087865.393023
3.277640 86734828.098846
3.276159 85523947.856208
3.274680 87895414.219797
3.273201 87687786.928716
3.271725 90496217.715750
3.270249 89571475.482048
3.268775 90371803.944852
3.267302 95062382.133840
3.265839 93561772.296256
3.264369 98119144.719080
3.262900 98640773.014700
3.261433 105089885.891527
3.259967 107065315.204160
3.258502 111650803.608579
3.257038 113345543.140472
3.255584 121715929.401584
3.254123 124874505.201500
3.252664 133706602.029920
3.251205 138772342.714986
3.249748 147341268.287488
3.248293 154759593.296502
3.246838 162482746.383400
3.245394 169050776.371200
3.243942 179284119.730227
3.242491 187780616.531856
3.241042 198048627.137097
3.239594 198665227.267776
3.238147 215119727.268075
3.236711 223236319.799025
3.235266 229458568.778912
3.233824 240690732.161333
3.232382 248852243.941484
3.230942 266012957.716926
3.229503 270230541.172800
3.228074 279175681.254800
3.226637 289762401.375162
3.225202 299776361.693952
3.223769 309511896.743308
3.222336 312156465.168368
3.220905 321030333.187350
3.219475 328436149.559904
3.218054 337486235.025348
3.216627 342987118.616772
3.215201 349092325.207728
3.213776 349848574.714350
3.212352 361185017.522400
3.210938 362845436.509200
3.209517 367495588.384862
3.208097 369912559.054384
3.206678 366501648.286299
3.205261 367574181.042176
3.203845 371943694.511675
3.202438 368522316.157450
3.201024 365096382.359808
3.199612 362114544.750899
3.198201 359878642.572456
3.196791 359594324.407190
3.195382 352984281.078400
3.193983 352690726.986000
3.192577 341536482.517464
3.191172 336099731.383584
3.189768 338209066.669662
3.188366 328372649.788716
3.186972 328054240.074352
3.185572 314857427.541950
3.184174 313769249.005844
3.182776 311768079.228086
3.181380 307940003.181248
3.179985 306233581.374094
3.178599 303913508.666357
3.177206 301438268.753600
3.175815 295756847.797940
3.174424 292659078.923512
3.173035 293526242.527778
3.171656 292253152.809528
3.170269 292967818.405740
3.168884 288630451.702125
3.167499 294859654.300224
3.166116 294963917.527107
3.164743 293070751.882501
3.163362 291636415.889312
3.161983 297888675.641297
3.160605 295223985.830200
3.159228 296251678.306923
3.157860 299900550.198745
3.156485 291982591.535888
3.155112 295634943.575466
3.153740 293264168.952832
3.152369 296149690.631850
3.151007 303993960.001875
3.149638 302708243.432448
3.148271 300644292.129282
3.146905 298576413.088812
3.145548 299144898.483200
3.144184 305003734.252001
3.142821 298418819.692500
3.141459 303819102.289950
3.140099 303770519.361472
3.138748 301066714.835076
3.137390 301796028.126348
3.136033 295021737.908592
3.134677 298719519.413125
3.133323 304302743.930588
3.131977 302369745.099024
3.130625 304199843.532291
3.129274 297396642.456216
3.127925 297653373.165654
3.126584 302942016.858726
3.125236 298795369.644200
3.123890 304252526.095811
3.122545 307510984.060800
3.121201 305881869.688482
3.119866 308829174.493595
3.118524 309253077.555456
3.117183 308094958.362675
3.115844 313903089.443192
3.114514 311476619.384640
3.113177 310475048.449293
3.111841 309788981.860284
3.110506 314345787.847578
3.109180 310955642.757755
3.107847 304695440.471400
3.106516 303841363.977347
3.105186 305536944.565184
3.103857 303245029.317100
3.102536 302544732.123526
3.101209 298327168.610976
3.099884 288821660.406125
3.098559 285705520.919264
3.097243 284826314.809872
3.095921 281379973.536666
3.094600 276321844.878084
3.093280 267076677.477582
3.091969 263925770.693961
3.090651 261092470.770200
3.089334 255998557.678829
3.088018 253153093.665280
3.086712 251108159.581904
3.085398 249222248.461807
3.084086 240866635.543040
3.082775 233952671.095350
3.081473 233502748.564050
3.080164 226570275.214848
3.078856 226438383.828564
3.077549 226630708.954704
3.076251 217073194.153984
3.074947 218233115.890702
3.073644 217116190.376600
3.072341 212087684.895702
3.071048 214222760.859474
3.069748 215383263.960480
3.068449 206257141.079247
3.067151 210681317.373584
3.065862 209059122.712248
3.064566 207926166.093750
3.063271 209904405.870096
3.061978 211065774.891543
3.060693 209765793.646782
3.059402 207807337.202960
3.058112 208969201.909511
3.056830 204537031.222843
3.055542 206850479.734400
3.054255 206695179.869574
3.052969 209013911.499148
3.051692 208528491.804912
3.050408 207877818.773322
3.049125 207060445.329552
3.047844 207731181.801375
3.046571 204260272.207425
3.045291 202773936.402908
3.044013 200787067.793290
3.042743 193813324.435743
3.041467 197466579.134352
3.040192 198131331.302751
3.038918 195800050.521600
3.037652 196296506.029800
3.036380 192791947.582116
3.035109 193120350.366528
3.033847 193448153.662872
3.032578 186755123.246533
3.031311 189756025.812864
3.030044 186397766.455425
3.028786 185882211.513725
3.027521 181004947.258304
3.026258 179477193.685621
3.025003 181978598.480787
3.023741 176748948.298944
