340.368	1	-4
340.539	1	8
340.710	1	6
340.881	1	2
341.052	1	-9
341.223	1	17
341.394	1	11
341.565	1	-4
341.737	1	-2
341.908	1	11
342.079	1	8
342.250	1	-4
342.421	1	10
342.592	1	16
342.763	1	-14
342.934	1	-4
343.105	1	-3
343.276	1	1
343.447	1	4
343.618	1	2
343.789	1	4
343.960	1	4
344.131	1	-4
344.302	1	13
344.473	1	10
344.644	1	8
344.815	1	8
344.986	1	11
345.157	1	5
345.328	1	9
345.499	1	7
345.670	1	5
345.841	1	7
346.012	1	6
346.183	1	6
346.354	1	11
346.526	1	-2
346.697	1	3
346.868	1	2
347.039	1	3
347.210	1	4
347.381	1	20
347.552	1	6
347.723	1	10
347.894	1	-4
348.065	1	16
348.236	1	0
348.407	1	-3
348.578	1	9
348.749	1	5
348.920	1	11
349.091	1	12
349.262	1	15
349.433	1	18
349.604	1	5
349.775	1	-3
349.946	1	14
350.117	1	6
350.288	1	4
350.459	1	10
350.630	1	-5
350.801	1	9
350.972	1	15
351.143	1	12
351.314	1	5
351.485	1	9
351.656	1	9
351.827	1	2
351.998	1	1
352.169	1	16
352.340	1	18
352.511	1	8
352.682	1	10
352.853	1	14
353.024	1	11
353.195	1	20
353.366	1	16
353.537	1	14
353.708	1	10
353.879	1	13
354.050	1	14
354.221	1	10
354.392	1	4
354.563	1	12
354.734	1	22
354.905	1	28
355.076	1	18
355.247	1	16
355.418	1	16
355.589	1	8
355.760	1	13
355.931	1	25
356.102	1	25
356.273	1	18
356.444	1	24
356.615	1	33
356.785	1	19
356.956	1	17
357.127	1	32
357.298	1	22
357.469	1	21
357.640	1	23
357.811	1	30
357.982	1	33
358.153	1	36
358.324	1	45
358.495	1	31
358.666	1	31
358.837	1	40
359.008	1	45
359.179	1	37
359.350	1	30
359.521	1	34
359.692	1	29
359.863	1	25
360.034	1	39
360.205	1	66
360.376	1	41
360.547	1	40
360.718	1	31
360.889	1	53
361.060	1	54
361.231	1	53
361.401	1	43
361.572	1	51
361.743	1	45
361.914	1	56
362.085	1	58
362.256	1	49
362.427	1	49
362.598	1	58
362.769	1	78
362.940	1	63
363.111	1	66
363.282	1	74
363.453	1	77
363.624	1	88
363.795	1	78
363.966	1	74
364.137	1	81
364.308	1	82
364.478	1	90
364.649	1	79
364.820	1	98
364.991	1	105
365.162	1	100
365.333	1	107
365.504	1	119
365.675	1	116
365.846	1	124
366.017	1	133
366.188	1	132
366.359	1	138
366.530	1	137
366.701	1	146
366.871	1	160
367.042	1	152
367.213	1	157
367.384	1	167
367.555	1	182
367.726	1	181
367.897	1	189
368.068	1	179
368.239	1	198
368.410	1	207
368.581	1	207
368.752	1	222
368.923	1	213
369.093	1	228
369.264	1	239
369.435	1	239
369.606	1	227
369.777	1	261
369.948	1	271
370.119	1	268
370.290	1	268
370.461	1	291
370.632	1	291
370.803	1	294
370.973	1	280
371.144	1	310
371.315	1	309
371.486	1	305
371.657	1	319
371.828	1	334
371.999	1	323
372.170	1	329
372.341	1	325
372.512	1	332
372.682	1	344
372.853	1	358
373.024	1	348
373.195	1	359
373.366	1	363
373.537	1	358
373.708	1	350
373.879	1	333
374.050	1	359
374.220	1	352
374.391	1	345
374.562	1	349
374.733	1	348
374.904	1	347
375.075	1	337
375.246	1	330
375.417	1	349
375.588	1	328
375.758	1	334
375.929	1	342
376.100	1	313
376.271	1	311
376.442	1	309
376.613	1	309
376.784	1	301
376.955	1	316
377.125	1	288
377.296	1	269
377.467	1	270
377.638	1	262
377.809	1	272
377.980	1	250
378.151	1	258
378.321	1	250
378.492	1	229
378.663	1	241
378.834	1	243
379.005	1	238
379.176	1	242
379.347	1	234
379.518	1	213
379.688	1	223
379.859	1	202
380.030	1	216
380.201	1	194
380.372	1	207
380.543	1	204
380.714	1	199
380.884	1	199
381.055	1	176
381.226	1	197
381.397	1	170
381.568	1	179
381.739	1	162
381.910	1	166
382.080	1	166
382.251	1	160
382.422	1	163
382.593	1	151
382.764	1	142
382.935	1	143
383.105	1	157
383.276	1	145
383.447	1	136
